,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
LUAD_28N,2.732744303990515,-2.1869398313197177,0.08973712614879063,-0.39249546041428407,-0.6022772294343737,-0.09484787058862057,-0.236068015835249,0.4844154383817824,-0.6787312899496889,0.0009676676925561062
LUAD_53N,1.8300879509122525,-8.369761294710267,-0.3957835385284537,-0.5370066494174214,0.4867842736326661,0.33249664958410924,0.060580885389892127,-0.8333277568557362,-0.2420998759307046,0.013586343420697571
LUAD_39T,-1.460487753955185,-0.3807318411941566,0.46377083676818437,0.4229680530284937,-0.2902817845205606,0.6028365812991987,0.16567402695474812,0.06281476843978641,-0.17086100815551422,0.1516591796872616
LUAD_17T,-2.6767468419513136,-2.030494138910748,1.916941505360654,-0.45532954339041765,0.4601890126746696,-0.2979439087730112,1.3762395733375348,0.2856962172280334,0.009892931913056374,-0.1262791768443001
LUAD_56N,2.2067089829982383,-3.2411071486837346,-0.28666942579664145,-0.24236997461844234,0.032625157331758296,-0.14057587958888698,-0.346068131857641,0.1857462671372506,0.1669651573963853,0.07158931044381835
LUAD_38T,-1.4449545998227207,0.5318390482768005,-1.3372457936727744,-0.2480108154226935,-0.15762451051285345,0.3030283974911474,-0.22381102432811315,0.16189279774016968,0.03859908187730693,0.12481768358620395
LUAD_29T,-0.44261716367631154,-0.01896656205841355,-0.8373888847318031,-0.1804362951599479,0.17591478195150842,0.21055772681283966,0.5068037068358796,0.20661785100123806,0.4054073858201716,0.020894649858457088
LUAD_22N,2.2232855443405795,0.8171399799656154,0.35808384227551815,-0.5625535787997341,0.4149703991249937,-0.09925803983129866,0.09853460840153815,-0.1280461600597945,0.26105442153691416,0.12315598727465993
LUAD_35T,-1.6812104096692606,0.31391757716420815,-0.1601225457837012,0.18508181930822187,-0.49060125647793557,0.2787190983156891,-0.09049954946508026,0.6421032699965836,-0.354582085489967,-0.35732444964569854
LUAD_44T,-1.472273277812841,0.9921116639843306,-0.09013020487229047,-0.27583646418051616,-0.32766178160827275,0.04342923916055325,-0.1533446138894212,-0.416157466689721,-0.10497411205507733,0.12662224628747112
LUAD_26T,-1.8135004526904117,-0.0047026227038487215,2.1652011763076033,-0.7052745697861172,-0.3974628858760631,-0.6353547983364032,-0.22852444208144046,-0.1924780821959138,0.13801745300250298,0.17256697544711747
LUAD_43T,-1.395728370025366,0.9011065102823842,-1.1054476167547695,-0.9934963285135607,-0.1584656677336988,-0.01288139841609155,0.33717000992885837,-0.26345286552613767,-0.33249163791843583,0.1403228503866393
LUAD_39N,2.3738771052245182,0.23358027941578302,0.1197784049111407,-0.2856151676501532,-0.09936343211972538,-0.04709496954346659,-0.03411312390146154,0.16788449935623398,0.16825549968968262,0.1338558581474233
LUAD_22T,-2.2638396392504654,0.43039630513527616,-0.16164406229803097,-0.5081670655809349,0.9892871886276721,0.1411577521596671,-0.6461232117070692,0.5734678971680547,-0.3072254135755711,0.035941390286924405
LUAD_51N,1.905032071675767,0.11473675413588973,-0.3787108666634843,0.4810748883877908,-0.27955444190597895,0.03475337494833377,-0.10110828261668728,0.14571475675636048,0.16247459298459946,0.10726782900472837
LUAD_25T,-1.2263372910375574,1.0347714082152741,-0.7050655503981051,-0.4039016551986249,-0.3273291773394409,0.30970730564990234,0.056723741292592146,0.043499825041263124,0.3089476383633558,-0.052406288664796644
LUAD_48T,-1.4367251591177976,0.1491629042991013,-0.321926830846553,-0.6759769208441098,-0.30651059255202534,0.4726223988786014,-0.3360465475088325,0.11519036367920645,0.014027572955795636,0.09653129317644231
LUAD_49T,-2.3234126883654387,0.6867417899083383,1.2972641171838353,-0.911056440729018,-0.1290696986736981,-0.3373032284717631,-0.500746011375405,0.510967845120127,-0.2178108338550149,0.17590905026381207
LUAD_61N,2.3540750710243334,0.24282864173235033,-0.1353341755476053,0.2860243346267387,-0.19996469235300482,0.12023237301182531,0.20665395540262543,0.28068035761956717,0.05874360970738466,0.11692987945699525
LUAD_57T,-0.9029581432148771,-0.06131525421788542,-2.2070824307722265,0.43819642101188244,0.11504876165021252,-0.5005402053657934,-0.3138314388095538,-0.018538417973705514,0.07223229720369993,0.021823870672845976
LUAD_46N,2.344344062120498,-0.3531679619164468,-0.0554152421193508,-0.36222726429665775,0.19106637621933686,-0.11345339245623884,-0.2593136089730027,0.20289134061366781,0.08556196103817353,0.14344169628108158
LUAD_45T,-1.5808407237608886,-0.40796013088251315,-0.816411202993478,0.72898874854862,-0.05578459120715245,-2.92489739818741,0.46506003952800734,-0.260507742836922,-0.5007704129864111,0.05270343772534156
LUAD_33N,2.2763590428603564,0.22739712127911182,0.1712917473951778,-0.3213205224322317,0.006609674233314796,-0.1066618669482613,-0.009507361771751275,-0.20751104886934119,-0.18956260928735255,0.12768265206463875
LUAD_24T,-0.7381950221271674,-1.1254692958609127,0.19725501925064715,-0.11177920572011682,-0.3349727310325267,-0.17537145875659227,0.7652131019149795,-0.14232774736712614,0.6390454921763836,-0.26771278888894046
LUAD_34T,-1.232957245869704,-0.7754414655701143,-0.8913509328546793,1.4700471495400962,-0.18028615244895851,0.5961073714808524,0.814862408904661,-0.1539300700141619,-0.6134273301221808,0.10153368391024223
LUAD_55T,-1.8522990347903656,0.8176958387745703,-0.7098024338448904,0.780311161636769,-0.12740858008292552,0.5018278237052397,-0.3251119067258488,0.05540763227662144,0.1637304121249103,-0.05134520480499338
LUAD_60N,1.900660538349772,-0.595063425135119,0.13410879535469447,0.46589377678133476,-0.055194772334569396,0.019428224096344943,-0.08115583756330592,-0.07841992537189404,0.3503808180394876,0.006578472722631603
LUAD_38N,2.246168731822401,0.6113827955776974,-0.2000497406883281,-0.35748514048440677,-0.3482292267565001,-0.05735192285664543,-0.01940561624299601,0.20562674426602517,0.05531282146594925,0.15976680436607044
LUAD_18N,2.5621193057067484,0.5688463196682312,0.5858986082306281,-0.2708304482398826,0.16223706181392106,0.054416238454786645,0.09321190160326823,0.11303312207776392,-0.5043720124277772,0.10487120802413771
LUAD_44N,1.8629055409878614,0.9283356620129803,-0.04981606239538081,0.21352070587657734,-0.04581205603056137,0.0848521975201176,0.15038939745961885,0.06430937601818694,0.20230631635095345,0.13453315642761415
LUAD_58T,-2.0629521997209745,0.49023864600693967,1.876188807273633,1.0141959033358348,0.19874762425757034,-0.2979423517229918,-0.5674288019691269,-0.38134495922603273,0.24992850161895458,-0.3094119448770249
LUAD_42T,-1.885826533060741,-0.2967844631018381,1.5677337028847997,1.069057271405417,-0.27151290837969827,-0.2976252057541558,-0.5263832328763186,-0.3739726311373425,-0.10602902479630766,-0.3075674820844714
LUAD_20T,-1.8057779445486488,0.7267548617542503,-0.09456542713905872,0.41352342800863656,1.0003346365290666,0.06119974168684632,-0.33795159009845005,-0.6876848372652973,-0.0413154188503853,0.0907785687792567
LUAD_53T,-0.7043917764561495,0.6591024443309447,0.6129545748879552,0.18729712735965517,-0.40565855442338733,0.23363822306327478,-0.10639823433946001,-0.5945125073788707,-0.03954404100479756,0.0005879841280551793
LUAD_17N,1.6903979041625312,0.35901217384435924,0.3760236085519171,0.6345366443399616,0.06328869305597533,0.2384654943824706,0.6861115028420892,-0.0858818007947296,0.18721851094922515,0.1354308228972069
