,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
Phos__A0AV96,-2.23499833387023e-05,-2.352173411801201e-07,-4.118374073635746e-06,-0.00037808954607659536,0.0005461074220192573,4.792249780173529e-05,-0.00012588987831054033,2.226378831436143e-05,1.0098737428128781e-05,0.36374987833180095
Phos__A0AVK6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phos__A0AVT1,1.6079424575672671e-06,6.93943467470726e-07,-3.202783771019494e-07,-1.7302587901641954e-06,1.5936057825600626e-05,-2.168530802571824e-06,0.0003193620861981874,-8.49276691826473e-05,2.6318048502959643e-06,0.019485729938129692
Phos__A0FGR8,0.01842455068683105,-6.869659429890868e-05,-1.8626130575482143e-05,-8.997942406190415e-06,-5.622642396174176e-05,-0.0011919765062431424,-0.0001880934638723849,1.3505360683433941e-05,-8.116456301920637e-08,-1.0391461280091965
Phos__A0FGR9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phos__A0JLT2,0.0003429283181827064,-1.3580851414794458e-07,-2.4265276640895147e-07,-4.199661467869066e-06,5.0947798904460576e-05,-4.5323758588269504e-05,-0.0002567402501677186,-2.6726987602862925e-06,1.8904527032607462e-06,-0.00488161749114006
Phos__A0JNW5,-0.12761491781366766,2.123889590405043e-05,7.20570051559555e-06,2.43655442725318e-05,0.0001737476781307272,0.00012491596781099532,-5.734836108873479e-06,-9.937197365281832e-06,9.302450379034753e-06,-0.6698907460499727
Phos__A0MZ66,-0.0008855367823366069,-2.1649900344603727e-06,-1.5118095450137935e-05,-4.498951607734005e-05,-4.784481646379666e-05,-0.00026236058692031763,-0.016418684425853963,-3.85659053444854e-06,2.0355557695706043e-05,0.5157902293415826
Phos__A1A4S6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phos__A1A5D9,-0.0020090827090278726,7.039982117476209e-05,-6.002995741960262e-05,-5.956200194040785e-06,7.822738823660746e-05,-0.0001012884837115983,-0.0009592706053694127,1.270158328798283e-05,-1.7940276148006698e-05,1.34455102193308
Phos__A1L020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phos__A1L170,-0.19632510424733096,7.644654429065686e-05,-3.369867922308226e-07,2.060868093294521e-05,-0.000357695843373113,-0.0002987240569686725,-0.0017390197237811076,-7.051076582600228e-06,-1.2625913556981056e-05,-0.0021780136207075356
Phos__A1L390,-0.0060673840044549515,8.480166291092072e-06,3.0083875161169438e-05,2.0127272494624293e-05,0.0002455182157657596,0.00018968673186318193,0.0009011139956582657,4.41236196602822e-06,2.931371486876691e-05,0.052212019485289064
Phos__A1X283,-0.0005804077425137097,-4.333245801718986e-08,2.631879147457026e-06,1.4930647221359419e-05,-0.000620152098575886,-7.766028730132742e-05,-0.001946534666417263,1.2644440614903593e-05,-1.1547683465544353e-05,0.02423948432368108
Phos__A1YPR0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phos__A2A2Y4,-0.0010537983447463665,-6.43587669155926e-07,-6.392595631102672e-07,-2.24944906891418e-06,-6.002534158243945e-05,1.3516804355259669e-05,0.0004798190849102929,7.082728295643579e-07,1.806904419992013e-07,0.39178184468781013
Phos__A2AJT9,0.006258479508183513,0.0002478483433454986,2.038014562488639e-05,-5.212351016396087e-05,6.291526170995421e-05,0.0002561772202886829,0.00446946875629898,-1.1250249449854635e-05,2.159880740540097e-05,0.8435027526503794
Phos__A2RRP1,-0.0021913702517013596,-3.676241821701622e-05,1.829560718466321e-05,3.854719504687936e-05,0.00013197231746267426,-0.0090807657126676,-0.0020168994637609753,1.2595279581645535e-05,-7.933882009240299e-06,-0.395448412412125
Phos__A2RU30,-0.0004803048729352349,0.0002554905344042014,-1.8373104061542507e-05,-1.923289080723977e-05,1.5484666896664776e-05,0.0012094974228082863,0.000365584562768523,-9.582294296348668e-07,-1.5615400811270016e-05,1.1373891756465895
Phos__A2RU67,0.024914069786049518,7.610308540430775e-07,-4.2202218707681265e-05,-1.0845930746325385e-07,1.611935237628872e-05,-2.719143699346767e-08,-0.0007698666732368104,-2.5115139357377335e-05,1.7649846974201166e-06,-0.3878605737652162
Phos__A2RUS2,0.00010586514571063334,-5.272867798835758e-06,1.3353360199983463e-05,7.303878432909096e-06,4.941703997857588e-05,-1.3048204757185048e-05,-0.0011412068979298827,8.698245004557844e-06,1.1902256830443786e-05,0.06368666703791885
Phos__A4D1P6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
