,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
RNA__A1BG,0.17484142474148717,-0.023048211382596908,0.21878084143942622,-0.7307673366680824,-0.009000863498294986,0.00146527164507441,0.32005564445057355,0.24219558473115763,-0.49747814499633086,-0.007033470494012278
RNA__A2ML1,-0.10401474384009808,-0.018434894780835653,0.18830638342304212,0.26798164666048435,-0.06747536086165491,-0.31497994958726266,0.4144490290186455,0.09351434075344929,-0.3220441964264838,-0.0013555440096663747
RNA__A4GALT,0.0672472346633877,-0.08987454574614846,0.35344324902879953,-0.18516760542662827,-0.39180405469185753,-0.03660810164702833,0.15070671566473506,0.5832341447472293,-0.20492730092275738,-0.001266178725197317
RNA__AAAS,-0.1107482212581354,0.1710986019929571,0.1520996511155475,-0.9087936556495925,0.0031173977761300006,-0.4592035173643455,0.17676977558056753,0.04460698164799847,-0.5506066563420698,-0.0023866690052658924
RNA__AACS,-0.23705309097124838,0.19240325449518914,-0.1037504001789562,-0.0901003333360614,-0.06915151562866755,0.037989542395267646,-0.23847084552471653,-0.07820413952148388,0.28368946522224925,0.0035865601529030274
RNA__AADACP1,0.10343528083977285,0.12039068106694735,0.09774808753556122,0.056106443184290394,-0.20169324042758027,0.16366118328958829,0.22325852260605247,0.0005126553548650677,0.13289106168059975,-0.0009100042166757786
RNA__AADAT,-0.018281250068075006,0.22096836345774593,-0.39890856508329664,-0.3595978805380783,0.01808017985767865,0.10890459397333709,0.2238450517150957,0.416616823610175,0.12591698202259002,0.001207650636698533
RNA__AAGAB,-0.29116073560442624,0.2253124699086669,0.2913169159268355,-0.06442035170378545,0.06246612685392556,-0.24176898315071665,-0.23065154951541808,-0.3943907298080099,-0.005667047318553957,0.0008900449527598908
RNA__AAMDC,0.40552290188156664,-0.1516266056571128,0.1673561435125087,-0.31575667406406316,0.10121348393308785,-0.10943281594825999,-0.10834848299126487,0.6633917817391097,-0.19758166615952152,0.005825063094136251
RNA__AAMP,-0.09051979679631156,0.4386865663413147,-0.18698133562497943,-0.27770010069672413,-0.22391551977156202,-0.2417689522568924,-0.5935965850350046,0.6342027622925211,0.6755380924245462,-0.0023049600619213665
RNA__AAR2,-0.07633829338195028,0.20592757301675552,-0.09013394000268306,-0.4720786889474781,-0.1229929472923089,0.2811918427174387,-0.9211412981220076,0.21031167891312494,0.22788483749099933,-0.004716483608535631
RNA__AARD,0.3034031308035901,-0.011336219388858218,-0.11763368678223567,-0.2754114983083253,0.21214474167726693,0.3498722087943316,0.12761517056256855,0.43729812704259674,0.6299458878917695,-0.0048708977138217854
RNA__AARS,-0.25921024076699606,0.18404868119377146,-0.07654629305825797,0.021667066198711074,-0.06435003839221433,-0.15653899365072912,-0.26352634240527817,-0.3985782547230819,0.067974037919184,-0.0006377639534312661
RNA__AARSD1,-0.026275734358295756,0.12076902031396954,0.12329290746622992,-0.8025100225994083,0.1381251038394664,-0.2267459726899617,-0.5094362179875942,0.6088513372296872,-1.132683100255766,-0.005463755019920239
RNA__AASDH,-0.21295105122710203,0.45069739509002954,-0.2523166103517525,-0.02229053104278336,-0.2558237475959889,0.014677928211444584,-0.1413771560379938,-0.24357225000288052,0.18538667936110398,-0.012378472296859025
RNA__AASDHPPT,-0.2158920054538115,0.3830613868239771,-0.11417348594822396,0.12210979918932335,-0.07847441431745711,0.0011311504559673407,-0.038957427939974414,-0.011699390465070984,0.10095433463737682,-0.006449449222401016
RNA__AATBC,-0.10690933947077384,0.20576605464827175,-0.4520946545957956,-0.6389107762914497,-0.03199575033646357,0.5718621536418188,-0.1549192126212394,-0.3709898860490683,0.28149455237485976,-0.00012758379080972566
RNA__AATF,-0.27442989988451477,0.005575662806847269,0.3316319607453089,0.004599120903403897,0.003237011470799554,0.1706615776139792,-0.8365127090801147,-0.2416039459179365,0.604091179824929,-0.005188007978760044
RNA__ABCA10,0.18140207605141923,0.46983698988193734,-0.3521471827139683,-0.15733408469599125,-0.16028026263166037,-0.4054066852689037,0.08864397075141062,0.038277252745497474,-0.33490713979611586,0.003374817718736854
RNA__ABCA13,-0.23605297699763966,0.007683703354991825,-0.36782956461518973,-0.07953439278803515,-0.1624589190608647,-0.09834324569057103,-0.06749192721341074,-0.44992601425727896,0.5835566730353148,0.0029855473503623154
RNA__ABCA2,-0.09545507449040946,0.3260816975521414,0.036395594552020086,-0.7680510238425053,-0.06168215527012083,-0.03152452042681051,0.9273558734740699,-0.488098378213401,-0.00943799158347619,-0.0024434082727768096
RNA__ABCA4,-0.2887566844461837,0.08404605996652485,-0.3392976741157874,-0.0199503966082634,0.04343434563509429,0.4791592155474301,-0.16436051755165743,-0.443503609179954,0.3117284593002569,0.009065023436824448
RNA__ABCA7,-0.22475991116037422,0.06753028923312453,-0.02353877433480508,-0.9400199047952449,0.258198394762335,-0.4814826539782961,0.5717832358830711,-0.7410908315338606,0.061365585674058684,-0.001655148916230332
RNA__ABCA9,0.41428676540267884,0.36449791173756146,0.023387279941262464,-0.24269615143298393,-0.313843540821335,0.1678523420683906,0.34323138278762366,-0.20621560401000583,-0.2165226821941208,0.0011089564403143608
RNA__ABCB1,0.24868730735747074,0.39818024491255266,0.0568810783529689,-7.844761199925816e-05,-0.10775841412816016,-0.13479944131191418,0.34114061105275684,-0.3454489678375885,-0.19167622952119973,0.003033997273168408
RNA__ABCB6,-0.20827203165174055,0.143344249826867,-0.2163064520434664,-0.640790905692343,-0.265210332797382,-0.1997217210860613,0.05951270714204865,0.251436860808895,0.03641351964933655,-0.0015789653675614128
