id,LUAD_17T,LUAD_18T,LUAD_19T,LUAD_20T,LUAD_22T,LUAD_23T,LUAD_24T,LUAD_25T,LUAD_26T,LUAD_27T,LUAD_28T,LUAD_29T,LUAD_30T,LUAD_33T,LUAD_34T,LUAD_35T,LUAD_37T,LUAD_38T,LUAD_39T,LUAD_40T,LUAD_41T,LUAD_42T,LUAD_43T,LUAD_44T,LUAD_45T,LUAD_46T,LUAD_47T,LUAD_48T,LUAD_49T,LUAD_50T,LUAD_51T,LUAD_52T,LUAD_53T,LUAD_54T,LUAD_55T,LUAD_56T,LUAD_57T,LUAD_58T,LUAD_60T,LUAD_61T,LUAD_90T,LUAD_91T,LUAD_17N,LUAD_18N,LUAD_19N,LUAD_20N,LUAD_22N,LUAD_23N,LUAD_24N,LUAD_25N,LUAD_26N,LUAD_27N,LUAD_28N,LUAD_29N,LUAD_30N,LUAD_33N,LUAD_34N,LUAD_35N,LUAD_37N,LUAD_38N,LUAD_39N,LUAD_40N,LUAD_41N,LUAD_42N,LUAD_44N,LUAD_45N,LUAD_46N,LUAD_47N,LUAD_48N,LUAD_49N,LUAD_50N,LUAD_51N,LUAD_52N,LUAD_53N,LUAD_54N,LUAD_55N,LUAD_56N,LUAD_57N,LUAD_60N,LUAD_61N,LUAD_90N,LUAD_91N
A0A0G2JS06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A1B0GTZ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A2R8YCJ5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AUZ9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AV02,0.0,0.0,0.0,0.0,0.0,0.0,75237885.97,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,48746582.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AV96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,70662628.32,0.0,0,0.0,0.0,121288590.8,0.0,145875667.9,140092960.8,60227946.11,0.0,0.0,0.0,0.0,0.0,123350303.7,130210796.1,0.0,0.0,0.0,0.0,0.0,0,75259600.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AVK6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113941023.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AVT1,0.0,0.0,0.0,0.0,95555898.53,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,76505736.64,118249481.9,0.0,0.0,0.0,134954160.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0FGR8,0.0,0.0,267723649.8,121709406.3,525722292.5,407429514.4,1602425260.0,0.0,0,329241967.8,545089568.4,0.0,162310856.6,117044348.3,117866918,558815519.8,913627073.3,634351854.0,257553122.8,274518835.8,271068921.6,136848492.2,253807125.0,548500000.4,645885260.0,414210435.7,251003995.2,1052782840.0,0.0,261583023.1,141341406.1,0.0,0.0,324670921.4,341322589,245427102.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123673459.4,0.0,115378024.5,1362341411.0,589026327.2,110515879.6,248496279.6,0.0,416627549.1,304689026.8,435630717.0,0.0,237315730.6,536174567.1,854160050,130839953.7,0,134173767.6,275364057.0,615987151.0,535595033.2,263685391.0,316536347.2,388158621.7,1044956635.0,534931793.6,305986185.8,848270152.5,0.0,256389089.7,80449115.94,305364085.7,0.0,522957437.7,327140728.4,0.0,254775931.4,0.0
A0FGR9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88729907.55,0.0,0.0,0.0,0.0
