id,LUAD_17T,LUAD_18T,LUAD_19T,LUAD_20T,LUAD_22T,LUAD_23T,LUAD_24T,LUAD_25T,LUAD_26T,LUAD_27T,LUAD_28T,LUAD_29T,LUAD_30T,LUAD_33T,LUAD_34T,LUAD_35T,LUAD_37T,LUAD_38T,LUAD_39T,LUAD_40T,LUAD_41T,LUAD_42T,LUAD_43T,LUAD_44T,LUAD_45T,LUAD_46T,LUAD_47T,LUAD_48T,LUAD_49T,LUAD_50T,LUAD_51T,LUAD_52T,LUAD_53T,LUAD_54T,LUAD_55T,LUAD_56T,LUAD_57T,LUAD_58T,LUAD_60T,LUAD_61T,LUAD_90T,LUAD_91T,LUAD_17N,LUAD_18N,LUAD_19N,LUAD_20N,LUAD_22N,LUAD_23N,LUAD_24N,LUAD_25N,LUAD_26N,LUAD_27N,LUAD_28N,LUAD_29N,LUAD_30N,LUAD_33N,LUAD_34N,LUAD_35N,LUAD_37N,LUAD_38N,LUAD_39N,LUAD_40N,LUAD_41N,LUAD_42N,LUAD_44N,LUAD_45N,LUAD_46N,LUAD_47N,LUAD_48N,LUAD_49N,LUAD_50N,LUAD_51N,LUAD_52N,LUAD_53N,LUAD_54N,LUAD_55N,LUAD_56N,LUAD_57N,LUAD_60N,LUAD_61N,LUAD_90N,LUAD_91N
A0A0G2JS06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A1B0GTZ2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A2R8YCJ5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AUZ9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AV02,0.0,0.0,0.0,0.0,0.0,0.0,26.16495599605099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.538797773094803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AV96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.074444096377416,0.0,0.0,0.0,0.0,26.853868618480874,0.0,27.12016403039742,27.061809236414398,25.84392974922082,0.0,0.0,0.0,0.0,0.0,26.87818603848753,26.956273841064718,0.0,0.0,0.0,0.0,0.0,0.0,26.16537232299407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AVK6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.763712041195568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0AVT1,0.0,0.0,0.0,0.0,26.509841610778285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.189064612727545,26.817258633832814,0.0,0.0,0.0,27.007894227312626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A0FGR8,0.0,0.0,27.996169351886714,26.858865441863266,28.96972567346455,28.601975256287332,30.577609923404893,0.0,0.0,28.294573008346894,29.021918072863244,0.0,27.274184269654807,26.802480044393317,26.812583621678854,29.057796850480184,29.76703016306103,29.240708038986153,27.94029479736798,28.03232990587239,28.01408448023878,27.02800430878273,27.919157334584213,29.030916383409725,29.266702657627068,28.625788664143656,27.903135092406533,29.971560734298627,0.0,27.962693676687866,27.074608935787285,0.0,0.0,28.274402941419865,28.34656065962554,27.870719341264437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.881960698723912,0.0,26.781793238533258,30.34344115181167,29.133756879936758,26.719678451943633,27.88864901732472,0.0,28.634183001930346,28.18276230696201,28.698530446725247,0.0,27.82223249869117,28.99812754994837,29.66993118392051,26.96322792413592,0.0,26.99952740671928,28.03676502253292,29.198325019208703,28.996567343793526,27.974242408143944,28.23779593444584,28.532071095576274,29.960795928038042,28.994779714416055,28.18889128559544,29.659948560497412,0.0,27.93375963600155,26.261573249320918,28.185955158540654,0.0,28.962118295484995,28.285336146906616,0.0,27.924653757858167,0.0
A0FGR9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.40291714578137,0.0,0.0,0.0,0.0
