,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10
Prot__A0A075B6I0,-0.08691694445540374,-0.00023092202519432842,0.07798952972223923,-0.009872985477235764,-0.866919301750689,0.13980874178794744,0.04345386369395154,0.30030190587663086,-0.02326481689593541,-0.00015801325115617578
Prot__A0A075B6K4,0.05571598888871851,-4.2312950192620465e-05,0.08219349365170722,-0.022801749554911405,-0.5376872652008179,-0.21325638641455183,-0.054815833944230334,-0.15799419241097334,-0.0001080316821264955,0.00014945680875858464
Prot__A0A075B6K5,-0.3517004037588229,0.0001321942402325842,0.088117686333525,0.0463364702254193,-0.6019307247290455,-0.0946645570453601,-0.02734582893965534,-0.3382252799964439,-0.0009423946906881053,0.0031600669735965337
Prot__A0A075B6S2;A0A0A0MRZ7,-0.0260090792811889,8.483167054832901e-05,0.09575951475923282,0.01162588230050093,-0.5986332286753834,-0.04696641974330085,-0.013305809738606187,0.06106485609536039,-0.008511171020285698,0.0047353015346548516
Prot__A0A075B6S5,0.03192374091097369,0.000991895113063112,0.34614478927235154,0.008890932620486847,0.035606486770474705,0.04921194136897655,0.007959580448899906,-0.3834485159951947,0.0017031932990932814,0.00887177324674186
Prot__A0A087WW87;P01614,-0.129262633780073,-0.00022130915480339194,0.36027469699040754,-0.009565081525432895,-0.4421224748521208,0.318616220763904,-0.043464134019250866,-0.09819845374233585,-0.0043858591555263286,-0.006565305634610669
Prot__A0A0A0MS15,-0.23079026499064575,0.00020981754059010775,0.3971927233824081,-0.020695326946426593,-0.69197881638252,-0.11530856994404472,0.02422562545960228,-0.21919261835630038,-0.008293339668324132,-0.00011361037278659973
Prot__A0A0B4J1U7,-0.17318436589145358,0.0006507826364924305,0.3384577394271766,-0.004174147745388341,-0.9862406625136739,0.02538305630108975,0.04891953760323045,-0.16092438452513336,-0.009163895786669948,-0.0002619771270423356
Prot__A0A0B4J1V0,-0.1202333224663457,0.0011921744024798889,0.4149196268970201,-0.027126003347382726,-0.4050044759717793,-0.021354045880702232,-0.016963687252951973,-0.22850631620644601,-0.04443450151304258,0.010130270671154221
Prot__A0A0B4J1X5,-0.07798824323740113,0.0002926674668461337,0.3507939760177606,0.0030004608973566455,-1.2162566840622913,0.007249430830837253,0.028821061023250587,0.09526740181768255,-0.006444522704093104,-0.0037498568348910922
Prot__A0A0B4J1Y9,0.07391921402348044,0.00014741130717741378,-0.05849738627010602,0.003718123730186423,-0.7586754828470176,-0.05765451000915435,0.007928052375771892,-0.002303450309214017,-0.003320729269931012,0.0023094096634290627
Prot__A0A0B4J2F0,0.0062628191676761605,-0.00040285895432438956,-0.3154295386852007,0.1386443412091059,0.2090674903725353,0.12847761199588004,0.07783295014393928,-0.08246238500024612,-0.029805396211679006,-0.0029337899391146463
