Proteins,Intensity LUAD_phos_01T,Intensity LUAD_phos_02T,Intensity LUAD_phos_03T,Intensity LUAD_phos_04T,Intensity LUAD_phos_05T,Intensity LUAD_phos_06T,Intensity LUAD_phos_07T,Intensity LUAD_phos_08T,Intensity LUAD_phos_09T,Intensity LUAD_phos_10T,Intensity LUAD_phos_11T,Intensity LUAD_phos_12T,Intensity LUAD_phos_13T,Intensity LUAD_phos_14T,Intensity LUAD_phos_15T,Intensity LUAD_phos_16T,Intensity LUAD_phos_17T,Intensity LUAD_phos_18T,Intensity LUAD_phos_19T,Intensity LUAD_phos_20T,Intensity LUAD_phos_21T,Intensity LUAD_phos_22T,Intensity LUAD_phos_23T,Intensity LUAD_phos_24T,Intensity LUAD_phos_25T,Intensity LUAD_phos_26T,Intensity LUAD_phos_27T,Intensity LUAD_phos_28T,Intensity LUAD_phos_29T,Intensity LUAD_phos_30T,Intensity LUAD_phos_31T,Intensity LUAD_phos_32T,Intensity LUAD_phos_33T,Intensity LUAD_phos_34T,Intensity LUAD_phos_35T,Intensity LUAD_phos_36T,Intensity LUAD_phos_37T,Intensity LUAD_phos_38T,Intensity LUAD_phos_39T,Intensity LUAD_phos_40T,Intensity LUAD_phos_41T,Intensity LUAD_phos_42T,Intensity LUAD_phos_43T,Intensity LUAD_phos_44T,Intensity LUAD_phos_45T,Intensity LUAD_phos_46T,Intensity LUAD_phos_47T,Intensity LUAD_phos_48T,Intensity LUAD_phos_49T,Intensity LUAD_phos_50T,Intensity LUAD_phos_51T,Intensity LUAD_phos_52T,Intensity LUAD_phos_53T,Intensity LUAD_phos_54T,Intensity LUAD_phos_55T,Intensity LUAD_phos_56T,Intensity LUAD_phos_57T,Intensity LUAD_phos_58T,Intensity LUAD_phos_59T,Intensity LUAD_phos_60T,Intensity LUAD_phos_61T,Intensity LUAD_phos_62T,Intensity LUAD_phos_75T,Intensity LUAD_phos_76T,Intensity LUAD_phos_77T,Intensity LUAD_phos_78T,Intensity LUAD_phos_79T,Intensity LUAD_phos_80T,Intensity LUAD_phos_81T,Intensity LUAD_phos_82T,Intensity LUAD_phos_83T,Intensity LUAD_phos_84T,Intensity LUAD_phos_85T,Intensity LUAD_phos_86T,Intensity LUAD_phos_87T,Intensity LUAD_phos_88T,Intensity LUAD_phos_90T,Intensity LUAD_phos_91T,Intensity LUAD_phos_92T,Intensity LUAD_phos_01N,Intensity LUAD_phos_02N,Intensity LUAD_phos_03N,Intensity LUAD_phos_04N,Intensity LUAD_phos_05N,Intensity LUAD_phos_06N,Intensity LUAD_phos_07N,Intensity LUAD_phos_08N,Intensity LUAD_phos_09N,Intensity LUAD_phos_10N,Intensity LUAD_phos_11N,Intensity LUAD_phos_12N,Intensity LUAD_phos_13N,Intensity LUAD_phos_14N,Intensity LUAD_phos_15N,Intensity LUAD_phos_16N,Intensity LUAD_phos_17N,Intensity LUAD_phos_18N,Intensity LUAD_phos_19N,Intensity LUAD_phos_20N,Intensity LUAD_phos_21N,Intensity LUAD_phos_22N,Intensity LUAD_phos_23N,Intensity LUAD_phos_24N,Intensity LUAD_phos_25N,Intensity LUAD_phos_26N,Intensity LUAD_phos_27N,Intensity LUAD_phos_28N,Intensity LUAD_phos_29N,Intensity LUAD_phos_30N,Intensity LUAD_phos_31N,Intensity LUAD_phos_32N,Intensity LUAD_phos_33N,Intensity LUAD_phos_34N,Intensity LUAD_phos_35N,Intensity LUAD_phos_36N,Intensity LUAD_phos_37N,Intensity LUAD_phos_38N,Intensity LUAD_phos_39N,Intensity LUAD_phos_40N,Intensity LUAD_phos_41N,Intensity LUAD_phos_42N,Intensity LUAD_phos_43N,Intensity LUAD_phos_44N,Intensity LUAD_phos_45N,Intensity LUAD_phos_46N,Intensity LUAD_phos_47N,Intensity LUAD_phos_48N,Intensity LUAD_phos_49N,Intensity LUAD_phos_50N,Intensity LUAD_phos_51N,Intensity LUAD_phos_52N,Intensity LUAD_phos_53N,Intensity LUAD_phos_54N,Intensity LUAD_phos_55N,Intensity LUAD_phos_56N,Intensity LUAD_phos_57N,Intensity LUAD_phos_58N,Intensity LUAD_phos_59N,Intensity LUAD_phos_60N,Intensity LUAD_phos_61N,Intensity LUAD_phos_62N,Intensity LUAD_phos_75N,Intensity LUAD_phos_76N,Intensity LUAD_phos_77N,Intensity LUAD_phos_78N,Intensity LUAD_phos_79N,Intensity LUAD_phos_80N,Intensity LUAD_phos_81N,Intensity LUAD_phos_82N,Intensity LUAD_phos_83N,Intensity LUAD_phos_84N,Intensity LUAD_phos_85N,Intensity LUAD_phos_86N,Intensity LUAD_phos_87N,Intensity LUAD_phos_88N,Intensity LUAD_phos_90N,Intensity LUAD_phos_91N,Intensity LUAD_phos_92N
A0A0G2JS06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A1B0GTZ2,0,0,0,0,0,0,0,140258455.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0A2R8YCJ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125861707.4,121431705.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120733731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AUZ9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AV02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75237885.97,0,0,0,0,0,0,66921905.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48746582.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AV96,0,0,0,130842534.1,122808288.2,0,119381599.3,0,107096871.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70662628.32,68386105.95,0,0,0,0,0,0,121288590.8,0,145875667.9,140092960.8,60227946.11,0,0,0,0,0,123350303.7,130210796.1,0,0,0,0,0,0,75259600.94,0,0,0,0,0,0,0,0,0,115898342,0,0,0,0,0,0,0,0,0,128667928.4,0,0,0,0,0,0,0,117734604.7,0,124020907.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AVK6,0,113129424.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113941023.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0AVT1,0,0,0,0,0,0,0,0,0,0,73392233.79,0,0,0,0,0,0,0,0,0,0,95555898.53,0,0,0,0,0,0,0,0,61679905.95,108923950.2,0,0,76505736.64,0,118249481.9,0,0,0,134954160.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114555774.6,0,0,0,0,54975963.6,0,0,0,0,0,0,0,0,0,0,131554545.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A0FGR8,831586243,1254066801,917841283.4,1762148229,1154142394,1309299144,1151773794,663062376,906856597.7,0,0,277858090.2,402514699,121321234.8,126965739.7,192959821.3,0,0,267723649.8,121709406.3,359466874.9,525722292.5,407429514.4,1602425260,0,0,329241967.8,545089568.4,0,162310856.6,919289547.4,446869720.8,117044348.3,117866918,558815519.8,0,913627073.3,634351854,257553122.8,274518835.8,271068921.6,136848492.2,253807125,548500000.4,645885260,414210435.7,251003995.2,1052782840,0,261583023.1,141341406.1,0,0,324670921.4,341322589,245427102.8,0,0,247876102.9,0,0,0,316370293.8,0,273752893.6,589856840,599909573,641787000,0,0,417484752.4,543679718,324436430,127255781.4,266149469,129501728.4,0,0,289733873.2,592291052.4,1172486550,689361691,700509876.5,1623092156,1238482629,971891151.1,673251338,579614089.6,128266729.9,0,0,131854416.1,276936614.8,0,0,0,0,123673459.4,0,0,115378024.5,1362341411,589026327.2,110515879.6,248496279.6,0,416627549.1,304689026.8,435630717,446857226.3,574925936,0,237315730.6,536174567.1,124031615.2,854160050,130839953.7,0,134173767.6,275364057,615987151,0,535595033.2,263685391,316536347.2,388158621.7,1044956635,534931793.6,305986185.8,848270152.5,0,256389089.7,80449115.94,305364085.7,0,522957437.7,385465989.1,323033603.4,327140728.4,0,245068762,284821797.9,113099182.7,135427528.9,387489207.5,487952932.4,597466544.8,131962605.1,108949125.9,1342271365,684989620,0,0,137058371.5,129909022.6,254775931.4,0,292308246.9
A0FGR9,0,0,0,0,116466088.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132031155.3,0,0,121911557.3,129005657.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88729907.55,0,0,0,0,0,0,112560982.7,0,0,0,9764072.353,0,0,0,0,0,0,0,0,0,0,0
